DEPT,DPHI_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,DTC_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
3007.5,0.288,130.22,0.424,3.29,0.0,2.5,2.215,122.22,628.6073,2736.3621,388.4714,71.6523,60.6513,532.8789,0.0825,0.8103,2.471,0.0075,0.145,0.3223,
3008.0,0.288,134.28,0.42,3.26,0.0,2.62,2.218,121.54,518.143,2179.8345,333.3845,64.583,55.0193,495.1269,0.063,0.6826,1.8435,0.0072,0.1379,0.2795,
3008.5,0.29,131.52,0.412,3.31,0.0,2.64,2.215,120.43,604.7532,2805.7387,334.0831,58.4793,56.1418,545.2667,0.0714,0.7731,1.9445,0.0089,0.1544,0.2682,
3009.0,0.293,129.39,0.399,3.35,0.35,2.57,2.21,118.79,767.9196,399.2218,1077.075,1472.8068,1180.7103,755.8591,2.7935,0.313,0.452,0.1076,0.2347,0.2833,14.097868919372559
3009.5,0.297,127.24,0.391,3.34,0.347,2.45,2.203,117.76,895.6098,505.8356,1074.7093,1425.7031,1451.0928,841.4485,2.7894,0.3376,0.384,0.1659,0.2655,0.2814,13.904434204101562
3010.0,0.301,122.08,0.395,3.33,0.351,2.34,2.196,118.43,886.0575,434.4362,976.148,1400.2832,1630.3095,895.6296,3.7582,0.3239,0.3231,0.1371,0.2075,0.2553,17.4398250579834
3010.5,0.301,112.82,0.407,3.42,0.358,2.23,2.194,120.05,887.6776,354.5078,1023.4342,1386.0755,1593.3129,919.7861,11.6673,0.4596,0.4589,0.0983,0.1529,0.2911,24.727312088012695
3011.0,0.295,109.16,0.42,3.54,0.0,2.13,2.203,122.17,995.4082,7432.5943,313.5423,66.0226,75.1341,685.5259,0.381,2.2093,7.8419,0.0131,0.1601,0.3247,
3011.5,0.29,109.39,0.427,3.62,0.0,2.07,2.213,123.53,1097.986,8711.8221,278.0569,58.3866,59.6116,537.367,0.4914,3.2062,12.535,0.0099,0.1171,0.3102,
3012.0,0.292,109.61,0.427,3.61,0.0,2.05,2.214,123.53,956.2541,6804.5677,236.1826,52.6343,56.1589,503.3509,0.4822,2.9231,10.4861,0.0095,0.1018,0.2578,
3012.5,0.298,108.33,0.425,3.56,0.0,2.07,2.204,122.88,866.7195,6128.0648,226.7439,61.5157,71.283,614.7475,0.4467,2.4161,8.1575,0.0117,0.1232,0.2577,
