DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR,K_SDR_PRE
4015.0,0.13,101.74,89.19,0.269,2.82,0.211,1.41,2.488,0.6538,0.3879,0.6254,0.7411,0.9629,1.4718,0.0784,0.0664,0.0724,0.0903,0.0703,0.0592,0.268454678,0.058358337730169296
4015.5,0.132,102.0,89.74,0.259,2.87,0.206,1.49,2.485,0.711,0.3713,0.6219,0.84,0.9909,1.7071,0.0821,0.0736,0.0804,0.0915,0.0695,0.0685,0.499572205,0.05336963012814522
4016.0,0.13,102.93,94.68,0.274,2.87,0.215,1.59,2.487,0.763,0.439,0.6416,1.1081,1.0475,1.4507,0.0999,0.0893,0.0948,0.1091,0.0918,0.0597,0.490778598,0.05941106751561165
4016.5,0.132,103.32,91.83,0.271,2.88,0.213,1.55,2.485,0.8352,0.4448,0.6666,1.133,1.097,1.5792,0.1059,0.1001,0.1032,0.1208,0.0976,0.0646,0.32227712,0.05767158418893814
4017.0,0.131,101.24,93.69,0.287,2.88,0.223,1.42,2.486,0.7154,0.3979,0.5493,0.6999,0.9671,1.3559,0.0901,0.0721,0.0792,0.0816,0.0744,0.0581,0.168933382,0.0640476644039154
4017.5,0.124,98.34,90.32,0.28,2.88,0.217,1.53,2.498,0.5086,0.3052,0.4707,0.4824,0.7261,1.0751,0.0624,0.0374,0.0482,0.043,0.0414,0.0444,0.103527004,0.05786000192165375
4018.0,0.123,98.2,87.8,0.275,2.87,0.213,1.63,2.5,0.5104,0.3046,0.4803,0.522,0.7039,1.0565,0.0633,0.0347,0.0457,0.0414,0.0389,0.0431,0.175260012,0.05541026592254639
4018.5,0.129,100.38,85.94,0.249,2.83,0.198,1.92,2.489,0.6423,0.3581,0.5935,0.9332,0.8465,1.6076,0.078,0.0455,0.0562,0.0581,0.0487,0.0638,0.299157297,0.04971497133374214
4019.0,0.134,103.82,87.44,0.234,2.79,0.19,1.7,2.481,0.6482,0.3538,0.7135,1.0699,0.9629,2.1157,0.0777,0.077,0.0735,0.1059,0.0725,0.0837,0.267471545,0.048132337629795074
4019.5,0.136,103.36,92.15,0.249,2.75,0.201,1.63,2.478,0.65,0.4088,0.758,1.1306,1.0752,2.1087,0.0869,0.078,0.0801,0.1093,0.0817,0.0846,0.148799806,0.057057935744524
4020.0,0.134,103.51,93.47,0.284,2.76,0.222,1.64,2.481,0.7676,0.5333,0.7342,1.3704,1.1772,1.603,0.1182,0.0881,0.0969,0.1223,0.1146,0.0677,0.14514406,0.07007016241550446
4020.5,0.136,103.09,89.63,0.303,2.8,0.235,1.64,2.478,0.8855,0.5585,0.6418,1.3229,1.174,1.5117,0.1517,0.0862,0.1005,0.112,0.1217,0.0718,0.071262827,0.08983512222766876
4021.0,0.124,96.45,85.02,0.285,2.79,0.22,1.51,2.499,0.4602,0.3048,0.5005,0.3692,0.6706,1.0233,0.062,0.0267,0.0406,0.0306,0.0333,0.0431,0.075204186,0.06273200362920761
4021.5,0.111,87.31,78.97,0.231,2.73,0.181,1.53,2.521,0.2877,0.2382,0.6644,0.1955,0.5022,0.8669,0.0207,0.0069,0.0289,0.0081,0.0162,0.0335,0.094927259,0.056469835340976715
4022.0,0.106,88.97,73.82,0.185,2.65,0.151,1.89,2.529,0.3009,0.2402,0.7189,0.2192,0.343,0.8156,0.0163,0.0051,0.0188,0.0086,0.0108,0.0288,0.151958659,0.08230546116828918
4022.5,0.114,93.45,78.97,0.186,2.62,0.154,2.53,2.516,0.3861,0.2606,0.7723,0.3341,0.3768,1.0617,0.0305,0.012,0.0182,0.0168,0.0134,0.0361,0.260686441,0.06973537802696228
4023.0,0.126,98.95,85.79,0.235,2.65,0.189,2.12,2.495,0.4939,0.3818,0.8391,0.7881,0.708,1.5023,0.0604,0.0296,0.0377,0.0426,0.0345,0.0584,0.88026997,0.057294007390737534
