DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
3178.5,7.91,0.285,104.07,134.75,0.349,4.77,0.319,3.01,1.118,2.223,90.86,22.857412338256836,0.052315134555101395
3179.0,7.91,0.282,101.43,102.55,0.34,4.91,0.312,2.6,1.029,2.228,90.35,900.917236328125,0.2410966455936432
3179.5,7.88,0.287,100.1,89.32,0.293,5.02,0.29,2.56,1.003,2.219,90.16,9397.5009765625,0.4059240221977234
3180.0,7.86,0.293,99.75,96.51,0.286,5.08,0.29,2.81,1.009,2.209,89.8,5027.083984375,0.2883642315864563
3180.5,7.86,0.297,99.19,96.88,0.303,5.06,0.3,2.9,1.023,2.202,89.54,5351.34912109375,0.24121910333633423
3181.0,7.86,0.294,98.75,81.39,0.323,4.94,0.309,2.9,1.014,2.207,89.65,34412.3828125,0.22801625728607178
3181.5,7.84,0.293,99.42,85.92,0.324,4.8,0.309,2.87,1.001,2.209,89.37,13778.2236328125,0.13191410899162292
3182.0,7.86,0.292,99.21,102.18,0.347,4.7,0.321,2.93,1.013,2.211,89.37,1066.5140380859375,0.0778886154294014
3182.5,7.87,0.293,99.15,92.35,0.322,4.61,0.308,2.99,1.024,2.209,89.69,2437.3740234375,0.06394067406654358
3183.0,7.9,0.288,101.16,97.26,0.313,4.56,0.301,2.97,1.026,2.217,89.84,327.1462097167969,0.05270121619105339
3183.5,7.94,0.284,100.9,113.14,0.324,4.57,0.305,3.21,1.053,2.225,89.37,30.334980010986328,0.035684529691934586
3184.0,7.91,0.274,99.6,122.21,0.338,4.65,0.308,3.32,1.054,2.242,89.37,28.38248634338379,0.03692978620529175
3184.5,7.92,0.265,99.35,81.39,0.336,4.75,0.303,2.83,1.005,2.257,89.41,8017.6591796875,0.18781639635562897
3185.0,7.91,0.265,98.75,82.14,0.313,4.9,0.29,2.8,0.982,2.257,88.95,16479.29296875,0.2800089716911316
3185.5,7.9,0.277,98.79,106.96,0.34,5.0,0.31,3.15,1.002,2.236,88.75,898.8438720703125,0.15298940241336823
3186.0,7.8,0.292,100.07,113.52,0.325,5.01,0.309,3.12,0.99,2.211,88.92,603.7589111328125,0.12103428691625595
