DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE,K_GD_N_PRE
2443.0,13.35,0.357,-999.25,102.9,0.445,2.92,0.403,1.44,2.099,-999.25,-999.25,,
2443.5,12.68,0.374,-999.25,94.06,0.487,2.91,0.434,1.29,2.071,-999.25,-999.25,,
2444.0,12.71,0.373,-999.25,88.27,0.533,2.88,0.46,1.36,2.072,-999.25,-999.25,,
2444.5,12.66,0.343,-999.25,84.98,0.506,2.93,0.432,1.52,2.124,-999.25,-999.25,,
2445.0,12.09,0.309,-999.25,83.82,0.402,3.04,0.359,1.86,2.182,-999.25,-999.25,,
2445.5,12.23,0.302,-999.25,79.77,0.419,3.13,0.365,1.72,2.194,-999.25,-999.25,,
2446.0,12.56,0.33,-999.25,85.44,0.503,3.05,0.425,1.34,2.146,-999.25,-999.25,,
2446.5,12.58,0.376,-999.25,89.85,0.453,2.86,0.416,1.17,2.067,-999.25,-999.25,,
2447.0,11.28,0.452,-999.25,96.51,0.437,2.74,0.0,1.2,1.937,-999.25,-999.25,,
2447.5,12.81,0.502,-999.25,94.42,0.402,2.75,0.0,1.33,1.852,-999.25,-999.25,,
2448.0,11.62,0.483,-999.25,97.88,0.466,2.81,0.0,1.35,1.884,-999.25,-999.25,,
2448.5,12.7,0.434,-999.25,95.06,0.399,2.85,0.417,1.32,1.968,-999.25,-999.25,,
2449.0,13.19,0.379,-999.25,94.19,0.414,2.84,0.397,1.33,2.061,-999.25,-999.25,,
2449.5,12.41,0.373,-999.25,92.11,0.435,2.8,0.405,1.38,2.071,-999.25,-999.25,,
2450.0,12.39,0.362,-999.25,92.05,0.451,2.79,0.409,1.41,2.092,-999.25,-999.25,,
2450.5,13.1,0.341,-999.25,91.24,0.519,2.84,0.439,1.35,2.127,-999.25,-999.25,,
2451.0,14.0,0.316,-999.25,87.77,0.462,2.92,0.396,1.33,2.17,-999.25,-999.25,,
2451.5,14.36,0.297,-999.25,87.47,0.394,2.99,0.349,1.34,2.203,-999.25,-999.25,,
2452.0,13.44,0.311,-999.25,89.88,0.396,3.01,0.356,1.38,2.178,-999.25,-999.25,,
2452.5,13.85,0.33,-999.25,91.9,0.368,3.04,0.35,1.4,2.145,-999.25,-999.25,,
2453.0,13.96,0.358,-999.25,91.39,0.472,3.05,0.419,1.28,2.098,-999.25,-999.25,,
2453.5,13.33,0.388,-999.25,98.18,0.356,3.05,0.372,1.23,2.046,-999.25,-999.25,,
2454.0,12.7,0.413,-999.25,102.81,0.447,3.04,0.43,1.25,2.004,-999.25,-999.25,,
2454.5,10.92,0.403,-999.25,108.69,0.416,2.96,0.41,1.29,2.021,-999.25,-999.25,,
2455.0,11.53,0.417,-999.25,96.01,0.436,2.85,0.427,1.19,1.997,-999.25,-999.25,,
2455.5,13.15,0.423,-999.25,88.2,0.441,2.76,0.432,0.92,1.987,-999.25,-999.25,,
2456.0,13.98,0.439,-999.25,81.78,0.518,2.73,0.48,1.07,1.96,-999.25,-999.25,,
2456.5,13.04,0.388,-999.25,87.8,0.433,2.79,0.411,1.51,2.047,-999.25,-999.25,,
2457.0,14.21,0.367,-999.25,88.16,0.414,2.88,0.391,1.52,2.083,-999.25,-999.25,,
2457.5,13.87,0.362,-999.25,89.21,0.446,2.94,0.406,1.3,2.091,-999.25,-999.25,,
2458.0,13.87,0.382,-999.25,90.08,0.562,2.96,0.481,1.47,2.056,-999.25,-999.25,,
2458.5,14.05,0.391,-999.25,92.72,0.445,2.93,0.419,2.0,2.041,-999.25,-999.25,,
2459.0,13.71,0.393,-999.25,102.07,0.466,2.93,0.431,1.53,2.038,-999.25,-999.25,,
2459.5,13.91,0.384,-999.25,104.97,0.386,2.94,0.385,1.08,2.053,-999.25,-999.25,,
2460.0,13.49,0.387,-999.25,101.1,0.432,2.94,0.41,1.04,2.049,-999.25,-999.25,,
2460.5,14.95,0.411,-999.25,93.06,0.554,2.9,0.488,1.04,2.007,-999.25,-999.25,,
2461.0,13.53,0.455,-999.25,87.85,0.512,2.77,0.0,1.16,1.932,-999.25,-999.25,,
2461.5,13.42,0.476,-999.25,91.69,0.628,2.64,0.0,1.33,1.896,-999.25,-999.25,,
