DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
3160,8.03,0.231,102.18,118.81,0.321,4.36,0.28,3.56,1.415,2.316,96.87,10961.83447,0.054851264
3160.5,8.02,0.238,101.68,108.6,0.319,4.33,0.281,3.62,1.373,2.302,95.98,13519.33496,0.078423969
3161,8.02,0.245,100,92.35,0.274,4.36,0.26,3.55,1.305,2.291,95.39,630.5562134,1.529558539
3161.5,8.07,0.253,98.65,97.07,0.299,4.42,0.277,3.35,1.223,2.278,94.73,3849.109619,6.111665249
3162,8.06,0.261,98.64,92.16,0.281,4.44,0.271,3.23,1.163,2.263,94,778.7202759,44.55536652
3162.5,8.05,0.275,98.93,89.32,0.3,4.43,0.288,3.23,1.138,2.24,93.75,1665.38855,249.9014435
3163,8.03,0.288,100.4,80.25,0.38,4.42,0.337,3.1,1.105,2.217,93.75,1025.453247,521.3994141
3163.5,8.01,0.288,100.68,87.06,0.331,4.4,0.31,3.08,1.118,2.218,93.75,1198.380737,793.1425171
3164,8.03,0.275,100.69,99.15,0.294,4.39,0.285,3.5,1.166,2.24,93.79,3197.143555,6.281682968
3164.5,8.06,0.261,100.75,110.81,0.299,4.38,0.281,3.7,1.218,2.263,93.75,3311.466309,0.08615303
3165,8.08,0.261,100.42,107.09,0.296,4.37,0.279,3.25,1.191,2.263,93.83,1575.057739,0.119365022
3165.5,8.07,0.269,101.19,99.53,0.339,4.39,0.306,3.09,1.176,2.25,94.26,2923.543457,27.02173424
3166,8.06,0.272,102.81,110.87,0.33,4.43,0.302,3.25,1.221,2.245,94.37,2833.395508,0.860537231
3166.5,8.11,0.269,103.92,125.99,0.342,4.48,0.308,3.41,1.286,2.249,94.3,14845.73438,0.072771721
3167,8.03,0.265,103.9,122.97,0.345,4.53,0.308,3.48,1.28,2.257,93.75,11307.5,0.07182049
3167.5,8.03,0.264,103.46,102.18,0.325,4.59,0.296,3.13,1.184,2.258,93.24,505.9691772,57.55349731
3168,8.04,0.261,100.56,89.32,0.302,4.65,0.282,3.04,1.14,2.265,92.66,137.1366119,1638.15625
3168.5,8.02,0.254,98.04,83.65,0.379,4.71,0.323,2.94,1.12,2.275,92.3,4012.840088,2550.678955
3169,8,0.248,96.95,75.34,0.327,4.76,0.29,2.94,1.074,2.286,91.71,527.4929199,3592.424561
3169.5,7.96,0.252,94.54,54.93,0.329,4.82,0.293,2.63,1.019,2.279,91.25,48.88765717,278.8790894
3170,7.94,0.263,95.09,44.72,0.342,4.87,0.305,2.42,0.974,2.26,90.9,4.593465328,49.79966736
3170.5,7.95,0.279,96.33,64.75,0.376,4.9,0.331,2.84,1.021,2.233,90.98,86.96327972,65.98241425
3171,7.96,0.283,97.75,77.23,0.407,4.86,0.351,3.41,1.064,2.226,90.9,2319.4646,86.7277832
3171.5,7.96,0.279,99.25,86.68,0.413,4.8,0.352,3.91,1.099,2.232,91.21,11479.47754,123.8248596
3172,7.95,0.271,98.81,75.72,0.402,4.78,0.343,3.73,1.087,2.247,90.87,2658.997559,113.071106
3172.5,8.01,0.265,98.5,74.27,0.372,4.88,0.323,3.51,1.065,2.257,90.66,657.0020142,138.5816803
3173,7.94,0.267,96.75,61.35,0.393,4.99,0.336,2.89,1.02,2.254,90.51,118.0000076,44.64988327
3173.5,7.93,0.265,96.06,51.9,0.371,4.98,0.322,2.62,0.988,2.257,90.63,17.43623161,40.09202957
3174,7.8,0.266,96.38,68.15,0.363,4.89,0.318,2.92,1.04,2.256,90.9,246.5840302,158.4816132
3174.5,7.87,0.263,97.13,72.69,0.375,4.79,0.324,3.13,1.088,2.26,91.25,1002.418701,333.7997437
3175,7.93,0.265,97.17,95.75,0.362,4.72,0.317,3.17,1.142,2.256,91.29,13727.30957,2326.030273
3175.5,7.93,0.266,98.07,87.43,0.298,4.68,0.282,3.12,1.117,2.255,91.56,319.7135925,2222.272217
3176,7.94,0.271,99.33,92.73,0.298,4.65,0.285,3.1,1.148,2.247,91.72,392.4159851,945.7775269
3176.5,7.94,0.275,101.18,110.11,0.306,4.62,0.291,3.49,1.258,2.241,91.88,2019.321899,4.531070232
3177,7.9,0.282,104.61,137.71,0.365,4.61,0.326,3.87,1.327,2.228,91.88,5519.789795,0.069275603
3177.5,7.9,0.285,105.67,145.65,0.387,4.62,0.34,3.99,1.315,2.222,91.72,9020.25769,0.063837379
3178,7.89,0.286,105.62,143.76,0.359,4.67,0.325,3.52,1.224,2.221,91.25,12520.72559,0.058684472
3178.5,7.91,0.285,104.07,134.75,0.349,4.77,0.319,3.01,1.118,2.223,90.86,7805.251465,0.267543375
3179,7.91,0.282,101.43,102.55,0.34,4.91,0.312,2.6,1.029,2.228,90.35,240.1908722,561.5317993
3179.5,7.88,0.287,100.1,89.32,0.293,5.02,0.29,2.56,1.003,2.219,90.16,17.77857399,165.7046661
3180,7.86,0.293,99.75,96.51,0.286,5.08,0.29,2.81,1.009,2.209,89.8,62.32801437,162.9127045
3180.5,7.86,0.297,99.19,96.88,0.303,5.06,0.3,2.9,1.023,2.202,89.54,128.5447998,141.7737122
3181,7.86,0.294,98.75,81.39,0.323,4.94,0.309,2.9,1.014,2.207,89.65,66.71237183,85.42729187
3181.5,7.84,0.293,99.42,85.92,0.324,4.8,0.309,2.87,1.001,2.209,89.37,168.8858948,155.9309387
3182,7.86,0.292,99.21,102.18,0.347,4.7,0.321,2.93,1.013,2.211,89.37,1700.670654,325.867981
3182.5,7.87,0.293,99.15,92.35,0.322,4.61,0.308,2.99,1.024,2.209,89.69,1250.223633,286.0761719
3183,7.9,0.288,101.16,97.26,0.313,4.56,0.301,2.97,1.026,2.217,89.84,772.9118652,145.1359253
3183.5,7.94,0.284,100.9,113.14,0.324,4.57,0.305,3.21,1.053,2.225,89.37,4299.441895,2.026922941
