UWI,Fm Name [42] (*=Aliased),Src,MD,SSTVD,TVD,Qual,Time(ms),Rpt,Sym,Hole Angle,Chg Date,Remarks,Desc
26123214850000,Missouri,Petrel,6518,-2308,6518,,,,,,,,
26123214850000,DesMoines,Petrel,6582,-2372,6582,,,,,,,,
26123214850000,Atoka,Petrel,6812,-2602,6812,,,,,,,,
26123214850000,Cherokee,Petrel,6850,-2640,6850,,,,,,,,
26123214850000,Precambrian,Petrel,7110,-2900,7110,,,,,,,,
26123215010000,SharonSprings,Petrel,2988.32,819.68,2988.32,,,,,,,,
26123215010000,Niobrara,Petrel,3010,798,3010,,,,,,,,
26123215010000,FtHays,Petrel,3285.34,522.66,3285.34,,,,,,,,
26123215010000,Graneros,Petrel,3580.76,227.24,3580.76,,,,,,,,
26123215010000,Mowry,Petrel,3732,76,3732,,,,,,,,
26123215010000,D_Sand,Petrel,3841.34,-33.34,3841.34,,,,,,,,
26123215010000,Huntsman,Petrel,3921.06,-113.06,3921.06,,,,,,,,
26123215010000,J_Sand,Petrel,3989.1,-181.1,3989.1,,,,,,,,
26123215010000,SkullCreek_Sh,Petrel,4035.42,-227.42,4035.42,,,,,,,,
26123215010000,Lakota_U,Petrel,4176.95,-368.95,4176.95,,,,,,,,
26123215010000,Lakota_L,Petrel,4337.46,-529.46,4337.46,,,,,,,,
26123215010000,Morrison,Petrel,4454.48,-646.48,4454.48,,,,,,,,
26123215010000,Jurassic_L,Petrel,4642.27,-834.27,4642.27,,,,,,,,
26123215010000,SundanceBase,Petrel,4682.34,-874.34,4682.34,,,,,,,,
26123215010000,Minnekahta,Petrel,4748.41,-940.41,4748.41,,,,,,,,
26123215010000,Opeche,Petrel,4770.19,-962.19,4770.19,,,,,,,,
26123215010000,Blaine,Petrel,4795.29,-987.29,4795.29,,,,,,,,
26123215010000,Flowerpot_Sh,Petrel,4914.43,-1106.43,4914.43,,,,,,,,
26123215010000,Flowerpot_Anhy,Petrel,4941.03,-1133.03,4941.03,,,,,,,,
26123215010000,Lyons,Petrel,4963.42,-1155.42,4963.42,,,,,,,,
26123215010000,SaltPlain,Petrel,5034.18,-1226.18,5034.18,,,,,,,,
26123215010000,StoneCorral,Petrel,5156.46,-1348.46,5156.46,,,,,,,,
26123215010000,Wolfcamp,Petrel,5246.46,-1438.46,5246.46,,,,,,,,
26123215010000,Virgil,Petrel,5696,-1888,5696,,,,,,,,
26123215010000,Missouri,Petrel,5800,-1992,5800,,,,,,,,
26123215010000,Atoka,Petrel,6022,-2214,6022,,,,,,,,
26123215010000,Cherokee,Petrel,6040,-2232,6040,,,,,,,,
26123215010000,Precambrian,Petrel,6182,-2374,6182,,,,,,,,
26123213650000,SharonSprings,Petrel,2870.92,807.08,2870.92,,,,,,,,
26123213650000,Niobrara,Petrel,2897,781,2897,,,,,,,,
26123213650000,FtHays,Petrel,3179.7,498.3,3179.7,,,,,,,,
26123213650000,Graneros,Petrel,3484.1,193.9,3484.1,,,,,,,,
