DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_D,K_TIM_D,K_SDR_N,K_SDR_N_PRE
4334.0,8.17,0.099,85.38,120.57,0.18,3.61,0.145,1.72,2.541,-999.25,-999.25,0.041614089,0.01146270427852869
4334.5,8.21,0.113,84.14,122.23,0.183,3.61,0.152,2.11,2.517,-999.25,-999.25,0.05816026,0.020158933475613594
4335.0,8.28,0.113,81.8,114.75,0.156,3.57,0.136,2.14,2.517,-999.25,-999.25,0.041048069,0.010075913742184639
4335.5,8.08,0.106,82.69,116.22,0.16,3.52,0.136,1.97,2.529,-999.25,-999.25,0.036806744,0.01013588160276413
4336.0,7.95,0.106,85.04,141.92,0.173,3.47,0.143,1.79,2.528,-999.25,-999.25,0.164582253,0.02424892783164978
4336.5,8.0,0.123,89.45,177.87,0.205,3.43,0.169,1.66,2.5,-999.25,-999.25,0.331529349,0.10565146803855896
4337.0,8.01,0.149,93.29,204.22,0.236,3.39,0.197,1.64,2.455,-999.25,-999.25,0.425449967,0.40910640358924866
4337.5,8.06,0.153,96.5,215.55,0.274,3.43,0.222,1.77,2.448,-999.25,-999.25,0.678263068,0.4959557056427002
4338.0,8.05,0.149,85.73,209.75,0.175,3.49,0.163,2.14,2.455,-999.25,-999.25,0.074955679,0.15888763964176178
4338.5,7.85,0.129,78.49,200.81,0.124,3.52,0.127,3.04,2.49,-999.25,-999.25,0.028060695,0.05051654577255249
4339.0,7.87,0.127,87.07,192.43,0.172,3.42,0.151,1.66,2.494,-999.25,-999.25,0.071779646,0.07484766840934753
4339.5,7.95,0.129,99.17,199.06,0.279,3.18,0.217,1.32,2.49,-999.25,-999.25,0.824147463,0.21267183125019073
4340.0,7.97,0.149,98.49,205.88,0.252,2.99,0.207,1.13,2.455,-999.25,-999.25,0.700968325,0.3031717538833618
4340.5,8.11,0.179,97.58,204.86,0.255,2.94,0.22,1.26,2.404,-999.25,-999.25,0.95426327,0.6472929120063782
4341.0,8.21,0.182,100.19,194.82,0.288,3.03,0.241,1.27,2.399,-999.25,-999.25,1.245407104,0.7759178280830383
4341.5,8.27,0.178,102.96,190.12,0.311,3.11,0.253,1.17,2.406,-999.25,-999.25,1.400928736,0.5947554707527161
4342.0,8.26,0.163,101.72,194.64,0.299,3.12,0.241,1.21,2.431,-999.25,-999.25,1.32416594,0.38221919536590576
4342.5,8.06,0.156,99.16,220.25,0.283,3.13,0.229,1.5,2.443,-999.25,-999.25,0.72241503,0.4790615737438202
4343.0,7.94,0.146,95.6,236.37,0.249,3.16,0.204,1.68,2.46,-999.25,-999.25,0.197941735,0.3053727447986603
4343.5,7.97,0.142,92.43,244.57,0.223,3.31,0.187,1.88,2.468,-999.25,-999.25,0.084361069,0.1833869069814682
4344.0,8.1,0.142,92.4,238.58,0.218,3.4,0.184,1.75,2.468,-999.25,-999.25,0.085153885,0.191676527261734
4344.5,8.11,0.145,93.71,228.36,0.232,3.46,0.193,1.67,2.461,-999.25,-999.25,0.183291271,0.29917603731155396
4345.0,8.09,0.152,92.08,204.59,0.22,3.43,0.189,1.6,2.451,-999.25,-999.25,0.302564055,0.3491455018520355
4345.5,8.17,0.164,92.35,182.39,0.229,3.38,0.199,1.55,2.429,-999.25,-999.25,0.689065456,0.48128682374954224
4346.0,8.14,0.182,98.63,165.71,0.3,3.3,0.248,1.47,2.4,-999.25,-999.25,0.002324971,0.16589951515197754
4346.5,8.18,0.182,97.97,165.34,0.309,3.2,0.254,1.71,2.4,-999.25,-999.25,0.001979251,0.0673961341381073
4347.0,8.12,0.173,96.64,158.34,0.29,3.15,0.239,1.6,2.415,-999.25,-999.25,0.483541697,0.2579684555530548
4347.5,8.14,0.162,88.63,158.43,0.206,3.21,0.185,1.72,2.433,-999.25,-999.25,0.454517305,0.2543560564517975
4348.0,8.21,0.141,90.07,156.04,0.22,3.31,0.185,1.66,2.468,-999.25,-999.25,0.458641052,0.1480514407157898
4348.5,8.18,0.118,94.34,149.04,0.265,3.37,0.205,1.55,2.508,-999.25,-999.25,0.284684122,0.07759393006563187
4349.0,8.18,0.1,89.42,137.15,0.22,3.38,0.171,1.67,2.539,-999.25,-999.25,0.17602931,0.039603058248758316
4349.5,8.08,0.114,87.5,123.73,0.203,3.32,0.165,1.68,2.516,-999.25,-999.25,0.09884382,0.0242446418851614
4350.0,8.09,0.132,89.65,122.44,0.228,3.28,0.186,1.66,2.485,-999.25,-999.25,0.118839376,0.04110168665647507
4350.5,8.1,0.151,91.7,120.83,0.238,3.22,0.199,1.43,2.452,-999.25,-999.25,0.141072392,0.06625775992870331
4351.0,8.25,0.154,90.81,121.27,0.235,3.2,0.199,1.55,2.446,-999.25,-999.25,0.178356394,0.049316294491291046
4351.5,8.22,0.17,92.46,121.09,0.249,3.18,0.213,1.47,2.42,-999.25,-999.25,0.188435167,0.007293880917131901
4352.0,8.2,0.227,98.36,125.0,0.301,3.15,0.267,1.28,2.323,-999.25,-999.25,6.3e-05,1.2025942851323634e-05
4352.5,8.23,0.296,103.11,133.29,0.346,3.07,0.322,1.23,2.203,-999.25,-999.25,4.54e-05,1.869127299869433e-05
4353.0,8.17,0.301,104.42,140.5,0.359,3.0,0.331,1.26,2.195,-999.25,-999.25,4.54e-05,1.922865521919448e-05
4353.5,8.05,0.219,102.13,147.5,0.37,3.12,0.304,1.83,2.336,-999.25,-999.25,4.54e-05,1.24108219097252e-05
4354.0,8.13,0.126,89.49,145.39,0.283,3.4,0.219,3.21,2.495,-999.25,-999.25,0.039720628,0.06461402773857117
4354.5,8.13,0.082,74.15,137.15,0.144,3.73,0.117,6.55,2.57,-999.25,-999.25,0.194966972,0.009860347025096416
4355.0,7.98,0.075,67.22,128.86,0.054,3.92,0.065,8.82,2.582,-999.25,-999.25,0.019705668,0.001542609534226358
4355.5,7.93,0.076,70.82,129.6,0.078,3.93,0.077,5.46,2.58,-999.25,-999.25,0.026241159,0.0041729724034667015
4356.0,7.95,0.085,76.03,137.62,0.114,3.83,0.101,3.35,2.564,-999.25,-999.25,0.061626267,0.010521896183490753
4356.5,7.85,0.092,79.55,138.17,0.136,3.7,0.116,2.5,2.552,-999.25,-999.25,0.082311377,0.013165470212697983
4357.0,7.89,0.093,81.73,147.3,0.161,3.69,0.131,2.47,2.551,-999.25,-999.25,0.191184938,0.023770885542035103
4357.5,7.97,0.091,80.06,154.11,0.147,3.77,0.122,2.74,2.555,-999.25,-999.25,0.17580767,0.023919789120554924
4358.0,8.04,0.086,78.76,166.64,0.129,3.88,0.11,2.82,2.563,-999.25,-999.25,0.108400933,0.02343827299773693
