DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE
4501.5,10.64,0.42,109.18,40.18,0.239,3.18,0.342,0.73,0.312,1.991,99.23,0
4502,11.12,0.346,102.23,45.98,0.363,3.28,0.355,0.75,0.312,2.119,99.49,4.54E-05
4502.5,11.54,0.173,90.22,37.54,0.364,3.38,0.285,1.43,0.448,2.414,99.96,7.025048733
4503,9.94,0.043,70.61,30.35,0.091,3.47,0.071,3.68,0.614,2.637,100.63,4.54E-05
4503.5,8.15,0.079,69.14,17.5,0.056,3.49,0.068,3.95,0.695,2.574,101.1,4.54E-05
4504,8.54,0.184,67.24,36.21,0.309,3.32,0.254,1.45,0.434,2.395,101.21,11.65030861
4504.5,10.67,0.264,92.08,53.41,0.377,3.13,0.325,1.12,0.39,2.259,101.65,6.67E-05
4505,9.58,0.272,132.74,39.8,0.393,3.04,0.338,1.42,0.463,2.245,102.07,4.54E-05
4505.5,9.59,0.27,113.35,34.32,0.479,3.04,0.389,1.51,0.504,2.248,102.54,4.54E-05
4506,9.4,0.249,109.38,51.14,0.598,3.19,0.458,1.16,0.555,2.285,103.12,4.54E-05
4506.5,9.06,0.199,87.38,39.93,0.506,3.61,0.384,1.65,0.775,2.37,103.46,0.031662289
4507,7.93,0.064,51.41,35.27,0.119,4.53,0.096,5.59,1.396,2.6,103.95,4.62E-05
4507.5,7.89,-0.051,39.58,25.06,0.005,5.4,0.036,7.07,1.679,2.797,104.41,0
4508,7.86,-0.145,51.02,2.76,0.003,5.45,0.103,5.31,1.955,2.957,105,0
4508.5,7.86,-0.171,46.57,0.93,0.016,5.45,0.121,4.97,1.833,3.002,105.48,0
4509,7.88,-0.168,49.73,0.49,0.018,5.44,0.119,4.31,2.011,2.997,106.02,0
4509.5,7.86,-0.162,50.73,-0.64,0.018,5.45,0.115,4.94,2.019,2.987,106.76,0
4510,7.86,-0.151,51.23,0.68,0.016,5.47,0.107,3.37,1.861,2.969,107.5,0
