DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RHOB_D,RESD_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
7844.5,-0.038,49.5,-999.25,0.012,4.95,0.0,2.712,182.61,-999.25,0.0033,0.0036,0.0004,0.0011,0.0011,-999.25,0.0,0.0,0.0001,0.0001,0.0,
7845.0,-0.033,49.53,-999.25,0.011,4.99,0.0,2.705,196.5,-999.25,0.0026,0.0029,0.0004,0.001,0.001,-999.25,0.0,0.0,0.0001,0.0001,0.0,
7845.5,-0.03,49.66,-999.25,0.01,5.02,0.0,2.699,214.45,-999.25,0.0024,0.0026,0.0005,0.001,0.0009,-999.25,0.0,0.0,0.0001,0.0001,0.0,
7846.0,-0.027,49.89,-999.25,0.009,5.01,0.0,2.695,234.73,-999.25,0.0025,0.0025,0.0005,0.001,0.0008,-999.25,0.0,0.0,0.0,0.0001,0.0,
7846.5,-0.027,50.24,-999.25,0.008,4.95,0.0,2.694,239.98,-999.25,0.003,0.003,0.0005,0.001,0.0007,-999.25,0.0,0.0,0.0001,0.0001,0.0,
7847.0,-0.025,50.56,-999.25,0.008,4.89,0.0,2.692,233.19,-999.25,0.0036,0.0035,0.0006,0.0011,0.0007,-999.25,0.0,0.0,0.0001,0.0001,0.0,
7847.5,-0.025,50.58,-999.25,0.01,4.79,0.0,2.691,196.32,-999.25,0.0049,0.0053,0.0006,0.0013,0.0009,-999.25,0.0,0.0,0.0001,0.0001,0.0,
7848.0,-0.025,50.16,-999.25,0.012,4.7,0.0,2.691,172.87,-999.25,0.0061,0.0073,0.0006,0.0014,0.0011,-999.25,0.0,0.0001,0.0001,0.0001,0.0,
7848.5,-0.034,49.44,-999.25,0.015,4.62,0.0,2.705,198.09,-999.25,0.0088,0.0099,0.0006,0.0013,0.0014,-999.25,0.0,0.0001,0.0001,0.0002,0.0,
7849.0,-0.047,48.76,-999.25,0.017,4.47,0.0,2.728,224.88,-999.25,0.0131,0.0129,0.0005,0.0012,0.0018,-999.25,0.0,0.0001,0.0001,0.0002,0.0,
